,User Question,Master Question
0,pneumonia immunization costs,"I am a senior who would like to be immunized against pneumonia. Is there a cost?
"
1,can a child be immunized now,"I did not immunize my child as an infant. She is now six and I have changed my stance. Can she be immunized now?
"
2,pregnant pregnant child mms,"Is it safe to immunize my 15 month old child with MMR while I am pregnant?
"
3,can a 4 year old be vaccinated before 2 months old,"Is there a different vaccine schedule for 4 year old, who has never been vaccinated? Can he get different (stronger) vaccines then 2 months old baby and get less of them and faster?
"
4,at what week should i wait to have my first shots of shingles,"How much time can you let pass between 2 month and 4 month immunizations. Is 10 weeks ok, or does it need to be at 8 weeks. Will I have to redo the first shots?
"
5,what vaccines contain formaldehence formaldehence formaldehence formaldehence formaldehence formaldehence formaldehence formaldehence formaldehence aldehence formaldehence formaldehence formaldehence,"Do vaccines contain formaldehyde
"
6,does a grade 9 need a diphtheria vaccination,"Hi, My daughter (grade 9ï¼‰has had 4 combined vaccines of Diphtheria, pertussisand Tetanus .The last shot was in her 7 years old.(before coming to Canadaï¼‰.Does she need get further vaccine of Diphtheria, pertussisand Tetanu? She got a form of 'consent for Grade 9 immunization' from school.
"
7,do vaccines get out at 12 months,"If a child of 9 months had chickenpox does he require vaccine at 12 months?
"
8,if i do grade 6 should i get booster shot,"my 11 year old daughter received immunizations forms for grade 6, she was vaccinated for hep b nov 3 2003, jan 19 2004, and nov 23 2004. does she need a booster shot for grade 6?
"
9,are vaccines required when a child should be immunized,"I am 21 years old and i have never been immunized when I was a child. Is it too late for me to get immunization? Can i still get those vaccines that were suppose to be given to me as a child?
"
10,do i really need to pay for hepatitis b vaccine,"Do I need to pay for the hepatitis B vaccine?
"
11,how does shingles vaccine pay for itself,"I have had Chicken pox several times. I am on long term disability. How do I go about getting the Shingles Vaccination, will the Government cover this for me.
"
12,immunization safe before 2month immunizationssafe before 2 month immunizations safe before safe before safe before safe before 2 month immunizations safe before safe before 2 month immunizations safe,"Is international travel safe before 2 month immunizations
"
13,keeps personal immunizations online,"Is there anyway of keeping track of personal immunizations online? (Instead of keeping a paper record).
"
14,safe infant is safe safe for infant ber is infant is safe,"unimmunized children in contact with 4 month old immunized infant is it safe
"
15,when do i need shots for vaccine,"I am 73 years of age, having never had the measles or the vaccine, do I need to get the vaccine now?
"
16,immunization fo fo chicken pox,"my 11year received one immunization for chicken pox (varicella) aug 8/08, they are asking her for two doses for her grade 6 boosters, does she need both or one
"
17,what immunizations are required to enter canada/BC to enter canada/BC BC immunizations are required to enter Canada/BC canada/BC BC/BC? what im immunizations are necessary to enter Canada/BC? immunisations are required to enter canada and  BC? im imm imm im immunizations are required to enter canada/BC? immunizations required to enter Canada/BC? immunisations immm im im imim im im im,"We are moving to BC.  What immunizations are required to enter Canada/BC? 
"
18,why is varicella considered invalid in extra dose,"My child was given MMR & Varicella at 12mths & they were given 11 days apart (Varicella first). I was told because of this, the MMR is considered invalid and need extra dose. Why?
"
19,what is the vaccine for toddler instead of bundle,"Hi there, I'm curious if I can get just a specific vaccine for my toddler rather than the bundle? tetanus, for example.
"
20,how do i test tuberculin after mmr booster for skin test,"I have recently received MMR and require a tuberculin skin test. How long do I need to wait after my MMR booster to do the skin test?
"
21,how many tetanus shots for tetanus alone,"How do I arrange for a separate tetanus vaccination for my 3.5 year old? (without diphtheria/Pertussis/polio, etc). How many shots will she need for tetanus alone?
"
22,why do I get the missing shots,"If I had 1 or 2 shots for Twin Rix but did not complete the series am I protected? Should I start over or just get the missing shots?
"
23,can measles vaccine be given to babies,"Can my 1 year old  get measles from MMR vaccine.....he is covered in a huge rash had shot 10 days ago.
"
24,how do i get my ammunization for measles on weekend,"How do I get an immunization for measles on the weekend? I work during the health unit clinic hours during the week and I'm going to Disneyland in a couple of weeks and just found out that I should have the MMR booster (born in 1970). Thank you! 
"
25,can a child get immunized if they have a cold,"Can a child get immunized if they have a cold? .
"
26,do mmr vaccines still require mmr vaccine,"If a child got mumps, does he still need mmr vaccine?
"
27,how long until i get shots of the child I am vaccinated,"I recently decided to get my 10 month old daughter vaccinated. She's had no shots yet. What happens now? Does she get all the shots she missed at once?
"
28,how often do you need booster,"I had the twinrix shot for Hep A and B about 5 years ago and I was an adult at that time. How often do I need the booster?
"
29,can someone get chicken pox shingles if they have had chickenpox vaccine?,"Can a person get shingles if they have had chickenpox disease or varicella vaccination?
"
30,do I need to get immunizations before i enter kindergarten,"My child's immunizations are up-to-date. They are entering kindergarten in September. Do I need to get them 4-6 year immunization prior to entering Kindergarten ?
"
31,vaccines for 2 months vaccine written proof,"Hi, my son is going to be 2 in november. His vaccines are all up to date but i dont have a written proof because i got them done in india. What should i do?
"
32,booster for hep A,"Where do I get my kids Booster for Hep A?
"
33,doctor immunization from immunization from my doctor doctor doctor doctor,"can i get my immunization from my doctor
"
34,chicken pox vaccine,"How soon is child protected after the chicken pox vaccine? In other words, how long does it take before the vaccine is effective against chicken pox exposure in the community?
"
35,flu flu shot shot flu shot works,"How long after vaccination does it take for the flu shot to work?
 
"
36,what immunity pass on mmr antibody to baby through breast milk,"As a nursing mother who has been immunized for MMR, do I pass antibodies on to my child through breast milk?
"
37,can someone with TDap immunization already get another immunization,"is it serious to get another Tdap immunization if you are not sure if you have already been immunized?
"
38,what is aacel adacel,"what is Adacel? Should all grade 9 boys get this shot???
"
39,immunization record to school,"Why do I need to submit a copy of my child's immunization record to their school? 
 
"
