,User Question,Master Question
0,insurance td booster booster covered by MSP or Pharmacare?,"Is Td booster covered by MSP or Pharmacare?
"
1,what year did vaccine against chicken pox start,"what year did BC start including vaccine against chicken pox in regular immunization?
"
2,prevnar cost,"I have had a pneumonectomy (1997). I frequently get lung infections (at least one a year, some years more than 1). I wonder if I can get funding to cover the cost of Prevnar 13.
"
3,when is the best time to book an early vaccine,"How to book an early immunization that i can stary the 1st vaccine by one month after my baby was born instead of 2 month since I have a travel plan to China?
"
4,vaccine vaccination vaccine vaccine shingles vaccine vaccine vaccines vaccination vaccine vaccines vaccines vaccines vaccine injection vaccination vaccines vaccine vaccines vaccine vaccine shingles vaccine vaccines vaccines vaccine,"How effective are the shingles vaccines?
"
5,can one parent vaccinate a child when they know that the other parent doesnt consent to it,"Do you need both parents consent to give a vaccine to a 9yr old and 3yr old child? Can one parent vaccinate the children if they know the other parent does not consent to it?
"
6,when do i need a booster vaccination?,"My son did not get chicken pox as a child. He had the vaccination at school at about age 12. Does he need a booster vaccination now that he is almost 23?
"
7,is hospital a club facility,"My brother-in-law, has to get transportation for Specialist Doctors and treatment at hospital. Is there any Club or facility that could help with this. He sometimes has to wait a few hours in hospital after treatment. It is hard to arrange times/schedules within family.
"
8,where can i get vaccinated,"Hello, I need to submit an immunization record to my school, and it seems like some of antibodies I have are weak, so I was wondering where I could get vaccinated. Thank you!
"
9,flu shot flu shot flu shot,"For non-MSP private patients (visitor Visa), where can they go to get their flu shot?
"
10,do you need two more immunizations in 14 year old,"If a 14 year old has the first immunization will he need two more or is one enough?
"
11,is my sister born in surry,"Can I book a vaccination appointment online for my nowborn sister?She was born in surry.
"
12,what year do you get a second mgmr dose,"Do people who only had one MMR dose (likely born between 1979 and 1995) need a second dose to protect against mumps?
"
13,vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccination vaccine vaccine vaccine vaccine,"What is the charge for the flu vaccine?
"
14,when was tetanus shot,"I had a tetanus shot at Kelowna General Hospital in 2013, just wondering where I can get proof of this information? Thanks
"
